ID,FirstName,LastName,Email,Password,Role
99,Nimet,Barrett,baret5dent@gmail.org,What_123,student
100,Klaudia,Winkler,wink4Student@gmail.cay,What_123,student
101,Alexandr,Larsen,abigailparker88@what_WH.at,What_123,student
102,Furqan,Furqan,furqanGUi43@studt.fur,What_123,student
103,Anubis,Abate,studetAbate@gmail.com,What_123,student
104,Klaudia,Win,studetAbate@gmail.ex.com,What_123,student
105,Dia,Kler,kler07udent@mail.car,What_123,student
106,Joonas,Schultz,joooooOOooon@ultz.sch,What_123,student
107,Rajendra,Naggi,naggggggggGG@GGggggiiilll.ra,What_123,student
108,Qua,Ere,stud034_QE@taqc.tr,What_123,student
109,Luna,Lala,lallalllala@gmail.alt,What_123,student
110,Zwei,Zu,zizuzi@wei.wei,What_123,student
111,Chu,Xoxo,chuXo09_xo@chessss.chu,What_123,student
